,date_,title,url,description,content
0,12-28-2024,Remembering the 'kind leader' who led India with a steely resolve,https://www.bbc.com/news/articles/cy531yl2ld7o,"A man of few words, Singh led the country from the front - but was deeply misunderstood along the way.","Manmohan Singh came across as a quiet, gentle person in public
The prospect of a shy politician is somewhat hard to imagine. Unless that politician is Manmohan Singh.
Since the death of the former … [+7925 chars]"
1,12-29-2024,The peanut farmer who rose to US president and Nobel prize winner,https://www.bbc.com/news/articles/c163e0wzgn3o,"The US president struggled in the White House and served just one term, but later won a Nobel Peace prize.","Carter died in the final days of 2024
Jimmy Carter, who has died at the age of 100, swept to power promising never to lie to the American people.
In the turbulent aftermath of Watergate, the former… [+10069 chars]"
2,12-28-2024,'I was so stressed that I pulled out my eyelashes',https://www.bbc.com/news/articles/c0ewggnr7dxo,Isobel Perl says suffering from trichotillomania ended up being a turning point for her business.,"Four years ago, Isobel Perl was living with friends in London and thriving. She was working for a big accountancy firm and had a busy social life.
Then the pandemic hit and she lost her job. Aged 25… [+6338 chars]"
3,12-29-2024,"Private school tax breaks a 'luxury', says Phillipson",https://www.bbc.com/news/articles/c86wd1y7v2xo,The education secretary defends ending tax breaks for private schools as the policy is set to begin.,"Tax exemptions on private schools are a ""luxury we cannot afford"", the education secretary said ahead of a new policy coming into effect.
Bridget Phillipson defended the government ending the exempt… [+2640 chars]"
4,12-29-2024,"UK and EU look to 2025 for reset, but with little room for trade-offs",https://www.bbc.com/news/articles/c2dxzyg9y3eo,Sir Keir Starmer is invited to an EU summit in February - the first of its type since the Brexit negotiations.,"The UK government has been involved in a lot of shuttle diplomacy with the EU since Labour won the UK election
Early in 2025, Prime Minister Sir Keir Starmer has been invited to an informal summit o… [+10427 chars]"
5,12-28-2024,S Korean president accused of ordering use of guns to stop martial law vote,https://www.bbc.com/news/articles/c8xj7kpe7kjo,"Yoon Suk Yeol told authorised soldiers to break down doors and drag politicians out of parliament, prosecutors say.","Prosecutors allege that South Korea's suspended president told the military to use guns while attempting to remove lawmakers from parliament while they were voting down his martial law decree.
On 3 … [+3616 chars]"
6,12-28-2024,India mourns ex-PM Manmohan Singh with full state funeral,https://www.bbc.com/news/articles/c878w5175n4o,Mourners gathered across Delhi to pay respects to a former PM many credit for India's economic reform.,"India has mourned one of its longest-serving prime ministers, Manmohan Singh, with a state funeral in Delhi. 
Singh led the country from 2004 to 2014 and was considered the architect of India's econ… [+2490 chars]"
7,12-28-2024,'It's still in shambles': Can Boeing come back from crisis,https://www.bbc.com/news/articles/c4gxvkq109ko,Safety issues with the Boeing 737 Max and mass employee strikes made for a challenging 2024.,"This has been a miserable year for Boeing. Not only has it struggled to cope with a safety and quality control crisis, it has lost billions of dollars following a strike by workers that paralysed pro… [+16189 chars]"
8,12-29-2024,Growth of women in power grinds to near-halt in a mega-election year,https://www.bbc.com/news/articles/cy895l25gwxo,"Out of 46 countries where elections were held, nearly two-thirds saw numbers of women elected fall - BBC finds.","Nearly half the world's population - 3.6 billion people - had major elections in 2024, but it was also a year that saw the slowest rate of growth in female representation for 20 years.
Twenty-seven … [+6341 chars]"
9,12-28-2024,Canadian YouTuber's love letter to Welsh slate town,https://www.bbc.com/news/articles/cge9rg8epl4o,"Photographer Kyle McDougall says he has fallen in love with the area's ""otherworldly"" wilderness.","Kyle McDougall has been fascinated by the slate landscapes of north Wales since first visiting in 2022 
A Canadian photographer and YouTuber has said he has fallen in love with the ""otherworldly"" be… [+4079 chars]"
10,12-28-2024,S Korean president accused of ordering use of guns to stop martial law vote,https://www.bbc.com/news/articles/c8xj7kpe7kjo?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,"Yoon Suk Yeol told authorised soldiers to break down doors and drag politicians out of parliament, prosecutors say.","Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
P… [+3980 chars]"
11,12-28-2024,Starmer asks UK regulators for ideas to boost growth,https://www.bbc.com/news/articles/cy0n14ywzqpo?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,The prime minister writes to regulators including Ofgem and Ofwat for ideas to boost economic growth.,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
P… [+3528 chars]"
12,12-29-2024,Jimmy Carter: From peanut farmer to US president and Nobel peace prize winner,https://www.bbc.com/news/articles/c163e0wzgn3o?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,"The US president struggled in the White House and served just one term, but later won a Nobel Peace prize.","Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
J… [+10436 chars]"
13,12-28-2024,12 cheap stocks to consider as small-caps start looking like market leaders,https://www.marketwatch.com/story/12-cheap-small-cap-stocks-ready-to-knock-large-caps-down-to-size-c84fc0c7,Small-cap stocks typically outperform when investors value large-caps more.,"- Agence France-Presse/Getty Images
Though small-cap stocks as an asset class have long lost their academic seal of approval, they may nevertheless be good bets for the next several years.
This so-… [+3166 chars]"
14,12-28-2024,Starmer asks UK regulators for ideas to boost growth,https://www.bbc.com/news/articles/cy0n14ywzqpo,The prime minister writes to regulators including Ofgem and Ofwat for ideas to boost economic growth.,"Prime Minister Sir Keir Starmer has written to the UK's main watchdogs, asking them to come up with ideas for reform that could boost economic growth.
He contacted the companies - including energy r… [+383 chars]"
15,12-29-2024,How AI revolution could help benefits appeals and landlord disputes,https://www.bbc.com/news/articles/cm2evjxev4jo,"Using AI to summarise long documents and help with other tasks could cut legal costs for those struggling financially, experts say.","Court No 1 of the Old Bailey
We've all seen the movie.
The dodgy witness is getting away with it until the wily lawyer mauls their evidence in the witness box, thanks to long nights preparing for j… [+7026 chars]"
16,12-28-2024,BKDT stock touches 52-week low at $69.04 amid market shifts,https://www.investing.com/news/company-news/bkdt-stock-touches-52week-low-at-6904-amid-market-shifts-93CH-3790588,BKDT stock touches 52-week low at $69.04 amid market shifts,"Brookdale Senior Living (NYSE:BKD) Inc. (BKDT) stock has reached a 52-week low, dipping to $69.04, as investors navigate a challenging economic landscape. With a market capitalization of $1.01 billio… [+1141 chars]"
17,12-28-2024,Morgan Stanley boosts consumer finance outlook for 2025,https://www.investing.com/news/stock-market-news/morgan-stanley-boosts-consumer-finance-outlook-for-2025-3789997,Morgan Stanley boosts consumer finance outlook for 2025,"Investing.com -- Morgan Stanley upgraded its view on consumer finance stocks to ""attractive"" given positive fundamentals and a friendlier regulatory environment.
Key drivers include easing inflation… [+1626 chars]"
